,Unnamed: 0,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_verifications,latitude,longitude,accommodates,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_location_Argentina,host_location_Australia,host_location_Belgium,host_location_Britain,host_location_Canada,host_location_China,host_location_Colombia,host_location_Denmark,host_location_Emirates,host_location_Finland,host_location_France,host_location_Germany,host_location_Ireland,host_location_Italy,host_location_Kingdom,host_location_Lithuania,host_location_Netherlands,host_location_Romania,host_location_Singapore,host_location_Spain,host_location_Sweden,host_location_Switzerland,host_location_Turkey,host_location_US,host_location_unknown,host_response_time_unknown,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,neighbourhood_cleansed_Bijlmer-Oost,neighbourhood_cleansed_Bos en Lommer,neighbourhood_cleansed_Buitenveldert - Zuidas,neighbourhood_cleansed_Centrum-Oost,neighbourhood_cleansed_Centrum-West,neighbourhood_cleansed_De Aker - Nieuw Sloten,neighbourhood_cleansed_De Baarsjes - Oud-West,neighbourhood_cleansed_De Pijp - Rivierenbuurt,neighbourhood_cleansed_Gaasperdam - Driemond,neighbourhood_cleansed_Geuzenveld - Slotermeer,neighbourhood_cleansed_IJburg - Zeeburgereiland,neighbourhood_cleansed_Noord-Oost,neighbourhood_cleansed_Noord-West,neighbourhood_cleansed_Oostelijk Havengebied - Indische Buurt,neighbourhood_cleansed_Osdorp,neighbourhood_cleansed_Oud-Noord,neighbourhood_cleansed_Oud-Oost,neighbourhood_cleansed_Slotervaart,neighbourhood_cleansed_Watergraafsmeer,neighbourhood_cleansed_Westerpark,neighbourhood_cleansed_Zuid,room_type_Hotel room,room_type_Private room,room_type_Shared room,bathrooms_text_0 shared baths,bathrooms_text_1 bath,bathrooms_text_1 private bath,bathrooms_text_1 shared bath,bathrooms_text_1.5 baths,bathrooms_text_1.5 shared baths,bathrooms_text_2 baths,bathrooms_text_2 shared baths,bathrooms_text_2.5 baths,bathrooms_text_3 baths,bathrooms_text_3 shared baths,bathrooms_text_3.5 baths,bathrooms_text_3.5 shared baths,bathrooms_text_4 baths,bathrooms_text_4 shared baths,bathrooms_text_4.5 baths,bathrooms_text_5 baths,bathrooms_text_5.5 baths,bathrooms_text_Half-bath,bathrooms_text_Private half-bath,bathrooms_text_Shared half-bath,bathrooms_text_unknown,host_identity_verified_t,host_has_profile_pic_t,has_availability_t,instant_bookable_t,host_is_superhost_t
10,10,0,0,1,1,5,52.36832,4.93039,4,3.0,4.0,125,175.0,5,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,0,0,0,0,24,3,0,4.96,4.92,4.96,4.96,4.96,4.75,4.75,1,1,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
11,11,100,0,0,0,2,52.37502,4.89659,4,2.0,1.0,55,76.0,2,31,2.0,2.0,31.0,31.0,2.0,31.0,21,48,48,48,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
12,12,100,100,1,1,6,52.36508,4.92442,2,1.0,1.0,40,156.0,7,60,7.0,7.0,60.0,60.0,7.0,60.0,0,0,5,5,18,0,0,4.94,5.0,5.0,5.0,5.0,4.78,4.83,1,1,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
13,13,100,50,2,2,6,52.38236,4.86899,4,2.0,2.0,43,201.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,0,0,0,0,8,2,0,5.0,5.0,5.0,5.0,5.0,4.63,4.88,1,1,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
14,14,100,100,3,3,8,52.33288,4.87265,3,1.0,2.0,56,70.0,1,1125,1.0,2.0,1125.0,1125.0,1.3,1125.0,0,0,0,0,88,0,0,4.85,4.91,4.91,4.82,4.89,4.6,4.51,1,0,1,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
15,15,20,15,1,1,5,52.36073,4.98005,6,5.0,5.0,52,300.0,3,365,3.0,3.0,365.0,365.0,3.0,365.0,4,9,17,87,25,1,0,4.91,4.96,4.59,4.83,4.96,4.74,4.74,1,1,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
16,16,0,100,1,1,2,52.38162,4.88238,2,1.0,1.0,34,100.0,8,10,8.0,8.0,1125.0,1125.0,8.0,1125.0,0,0,0,0,25,3,0,4.76,4.84,4.56,4.92,4.88,4.8,4.56,1,1,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
17,17,100,100,1,1,6,52.40173,4.90238,2,1.0,1.0,123,90.0,2,7,2.0,2.0,7.0,7.0,2.0,7.0,0,0,0,230,39,1,0,4.92,4.87,4.9,4.97,5.0,4.56,4.77,1,0,1,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
18,18,0,0,1,1,8,52.35481,4.88744,4,2.0,2.0,28,180.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,0,0,0,20,0,0,4.85,4.95,4.8,4.85,4.95,4.95,4.75,1,1,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
19,19,100,22,1,1,3,52.34966,4.84949,4,2.0,2.0,111,150.0,2,30,5.0,5.0,30.0,30.0,5.0,30.0,7,7,27,302,3,0,0,5.0,4.67,5.0,5.0,5.0,5.0,3.67,1,0,1,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
20,20,88,80,1,1,9,52.35536,4.89192,2,1.577414409810935,1.0,85,190.0,3,60,3.0,3.0,60.0,60.0,3.0,60.0,27,57,87,362,45,1,1,4.7,4.86,4.5,4.93,4.98,4.84,4.36,1,1,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
21,21,0,100,35,35,11,52.39856,4.90556,2,1.577414409810935,1.0,83,115.0,3,1001,3.0,3.0,1125.0,1125.0,3.0,1125.0,21,51,81,103,117,11,0,4.45,4.57,4.59,4.48,4.58,4.21,4.27,6,4,2,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
22,22,0,100,1,1,6,52.36897,4.85561,2,1.0,1.0,75,120.0,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0,0,0,0,0,82,2,0,4.89,4.87,4.85,4.91,4.91,4.68,4.73,1,1,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
23,23,100,67,1,1,6,52.342,4.80547,3,2.0,1.0,104,70.0,1,1125,1.0,3.0,1125.0,1125.0,1.1,1125.0,2,2,2,2,1,1,1,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1,1,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
24,24,0,0,2,2,2,52.39106,4.93726,4,3.0,4.0,38,259.0,7,21,7.0,7.0,21.0,21.0,7.0,21.0,0,0,0,0,2,0,0,3.5,4.5,3.5,5.0,5.0,4.5,3.0,2,1,1,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
25,25,100,40,1,1,8,52.35449,4.8919,4,3.0,3.0,95,650.0,3,9,3.0,3.0,9.0,9.0,3.0,9.0,29,59,89,179,19,0,0,4.89,4.95,4.47,5.0,5.0,4.95,4.58,1,1,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
26,26,100,0,1,1,5,52.34546,4.86738,2,1.0,1.0,46,87.0,2,60,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,0,0,0,27,0,0,4.74,4.81,4.67,4.74,4.81,4.78,4.63,1,0,1,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
27,27,0,25,1,1,8,52.35379,4.9956,2,1.0,1.0,33,45.0,180,1125,180.0,180.0,1125.0,1125.0,180.0,1125.0,0,0,0,189,321,0,0,4.84,4.93,4.83,4.95,4.89,4.73,4.81,2,0,2,0,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
28,28,0,0,13,13,7,52.35473,5.00492,2,1.0,2.0,30,74.0,1,28,2.0,2.0,365.0,365.0,2.0,365.0,0,0,0,0,33,0,0,4.55,4.58,4.73,4.79,4.82,3.94,4.55,10,0,10,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
29,29,100,100,1,1,6,52.34821,4.90406,2,1.0,1.0,48,104.0,2,60,2.0,2.0,1125.0,1125.0,2.0,1125.0,27,57,87,172,211,19,2,4.78,4.86,4.72,4.92,4.92,4.77,4.59,1,1,0,0,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
30,30,100,100,0,0,3,52.35101,4.89613,2,1.0,1.0,65,105.0,5,365,5.0,5.0,365.0,365.0,5.0,365.0,8,8,8,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
31,31,0,0,0,0,6,52.38117,4.88052,2,1.0,1.0,40,100.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,2,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
32,32,0,100,2,2,8,52.38252,4.85443,1,1.0,1.0,43,47.0,2,8,2.0,2.0,8.0,8.0,2.0,8.0,0,0,0,0,37,0,0,4.83,4.92,4.89,4.72,4.92,4.83,4.83,2,1,1,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
33,33,0,100,1,1,6,52.35678,4.9056,4,4.0,4.0,41,516.0,3,14,3.0,3.0,1125.0,1125.0,3.0,1125.0,0,0,5,5,39,1,0,4.9,4.95,4.74,4.97,4.92,4.97,4.79,1,1,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
34,34,100,0,1,1,4,52.37197,4.87308,2,1.0,1.0,38,99.0,10,1125,10.0,10.0,1125.0,1125.0,10.0,1125.0,0,0,0,31,8,0,0,5.0,5.0,4.63,5.0,5.0,5.0,4.88,1,1,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
35,35,100,100,1,1,5,52.38067,4.85032,4,2.0,2.0,32,295.0,2,30,2.0,2.0,30.0,30.0,2.0,30.0,13,15,15,15,6,0,0,4.83,4.67,5.0,4.83,5.0,4.5,4.33,1,1,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
36,36,0,0,2,2,8,52.38107,4.88629,2,1.577414409810935,1.0,45,100.0,3,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,0,0,0,124,0,0,4.55,4.72,4.74,4.8,4.77,4.91,4.31,2,0,2,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
37,37,0,100,1,1,9,52.35129,4.85118,2,1.0,1.0,77,140.0,3,30,3.0,3.0,30.0,30.0,3.0,30.0,0,0,0,0,24,3,0,4.85,4.95,4.75,4.95,5.0,4.75,4.6,1,1,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
