,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
10,"Purmerend, North Holland, Netherlands",unknown,0,0,f,Oostelijke Eilanden en Kadijken,1,1,"['email', 'phone', 'reviews', 'jumio', 'work_email']",t,t,Centrum-Oost,52.36832,4.93039,Entire condominium (condo),Entire home/apt,4,2.5 baths,3.0,4.0,"[""Luggage dropoff allowed"", ""Board games"", ""Sound system"", ""Extra pillows and blankets"", ""Free parking on premises"", ""Hot water kettle"", ""Hair dryer"", ""Children\u2019s dinnerware"", ""Pocket wifi"", ""Stove"", ""Waterfront"", ""Mini fridge"", ""Washer"", ""Game console"", ""Dryer"", ""Iron"", ""Dishes and silverware"", ""Hangers"", ""Baking sheet"", ""Dining table"", ""Window guards"", ""Cooking basics"", ""Single level home"", ""TV with standard cable"", ""Cleaning products"", ""Babysitter recommendations"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Long term stays allowed"", ""Wifi"", ""Essentials"", ""First aid kit"", ""Drying rack for clothing"", ""Cleaning before checkout"", ""Crib"", ""Coffee maker"", ""Bikes"", ""Shampoo"", ""Shower gel"", ""Room-darkening shades"", ""Kitchen"", ""Hot water"", ""Smoke alarm"", ""Laundromat nearby"", ""Private entrance"", ""High chair"", ""Bed linens"", ""Beach essentials"", ""Children\u2019s books and toys"", ""Elevator"", ""Body soap"", ""Cable TV"", ""Freezer"", ""Paid parking off premises"", ""Bathtub"", ""Toaster"", ""Oven"", ""Dishwasher"", ""Conditioner"", ""Dedicated workspace"", ""Heating"", ""Wine glasses""]",175.0,5,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,t,0,0,0,0,24,3,0,2021-07-18,4.96,4.92,4.96,4.96,4.96,4.75,4.75,f,1,1,0,0,0.45
11,"Amsterdam, North Holland, Netherlands",within a few hours,100,0,f,unknown,0,0,"['email', 'phone']",t,f,Centrum-West,52.37502,4.89659,Entire rental unit,Entire home/apt,4,1 bath,2.0,1.0,"[""Hot water kettle"", ""Hair dryer"", ""Stove"", ""Washer"", ""Dishes and silverware"", ""Hangers"", ""Dining table"", ""Cooking basics"", ""Cleaning products"", ""Refrigerator"", ""Long term stays allowed"", ""Wifi"", ""Essentials"", ""First aid kit"", ""Shampoo"", ""Shower gel"", ""Kitchen"", ""Hot water"", ""Smoke alarm"", ""Bed linens"", ""Microwave"", ""Central heating"", ""Body soap"", ""Free dryer \u2013 In unit"", ""Freezer"", ""Oven"", ""Dishwasher"", ""Dedicated workspace"", ""Clothing storage: dresser""]",76.0,2,31,2.0,2.0,31.0,31.0,2.0,31.0,t,21,48,48,48,0,0,0,0,0,0,0,0,0,0,0,f,1,1,0,0,0
12,"Amsterdam, North Holland, Netherlands",within a day,100,100,f,Indische Buurt,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'work_email']",t,t,Centrum-Oost,52.36508,4.92442,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"[""Hair dryer"", ""Stove"", ""Washer"", ""Dishes and silverware"", ""Dryer"", ""Iron"", ""Cooking basics"", ""TV with standard cable"", ""Long term stays allowed"", ""Refrigerator"", ""Wifi"", ""Essentials"", ""Coffee maker"", ""Shampoo"", ""Kitchen"", ""Hot water"", ""Smoke alarm"", ""Cable TV"", ""Oven"", ""Dishwasher"", ""Dedicated workspace"", ""Heating"", ""Patio or balcony""]",156.0,7,60,7.0,7.0,60.0,60.0,7.0,60.0,t,0,0,5,5,18,0,0,2019-11-29,4.94,5.0,5.0,5.0,5.0,4.78,4.83,f,1,1,0,0,0.26
13,"Amsterdam, North Holland, Netherlands",within a few hours,100,50,f,Oud-West,2,2,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,Westerpark,52.38236,4.86899,Entire rental unit,Entire home/apt,4,1.5 baths,2.0,2.0,"[""Hair dryer"", ""Stove"", ""Lockbox"", ""Washer"", ""Fast wifi \u2013 112 Mbps"", ""Ethernet connection"", ""Dishes and silverware"", ""Dryer"", ""Hangers"", ""Cooking basics"", ""Long term stays allowed"", ""Refrigerator"", ""Essentials"", ""Shampoo"", ""Kitchen"", ""Hot water"", ""TV"", ""Smoke alarm"", ""Bed linens"", ""Microwave"", ""Oven"", ""Dishwasher"", ""Dedicated workspace"", ""Heating"", ""Patio or balcony""]",201.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,0,0,0,0,8,2,0,2019-09-06,5.0,5.0,5.0,5.0,5.0,4.63,4.88,f,1,1,0,0,0.26
14,NL,within an hour,100,100,f,Buitenveldert-West,3,3,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,Buitenveldert - Zuidas,52.33288,4.87265,Private room in rental unit,Private room,3,1 shared bath,1.0,2.0,"[""Hair dryer"", ""Stove"", ""Washer"", ""Dryer"", ""Iron"", ""Dishes and silverware"", ""Hangers"", ""Cooking basics"", ""Cleaning products"", ""Fast wifi \u2013 102 Mbps"", ""Refrigerator"", ""Long term stays allowed"", ""Essentials"", ""First aid kit"", ""Crib"", ""Coffee maker"", ""Shampoo"", ""Kitchen"", ""Private entrance"", ""Hot water"", ""Smoke alarm"", ""Microwave"", ""Carbon monoxide alarm"", ""Paid parking on premises"", ""Elevator"", ""Lake access"", ""Oven"", ""Dishwasher"", ""Dedicated workspace"", ""Heating"", ""Lockbox""]",70.0,1,1125,1.0,2.0,1125.0,1125.0,1.3,1125.0,t,0,0,0,0,88,0,0,2019-11-18,4.85,4.91,4.91,4.82,4.89,4.6,4.51,t,1,0,1,0,2.16
15,"Amsterdam, North Holland, The Netherlands",a few days or more,20,15,f,Oost,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t,IJburg - Zeeburgereiland,52.36073,4.98005,Entire residential home,Entire home/apt,6,2 baths,5.0,5.0,"[""Luggage dropoff allowed"", ""Hair dryer"", ""Washer"", ""Dishes and silverware"", ""Game console"", ""Dryer"", ""Cooking basics"", ""TV with standard cable"", ""Long term stays allowed"", ""Refrigerator"", ""Wifi"", ""Essentials"", ""Coffee maker"", ""Shampoo"", ""Room-darkening shades"", ""Kitchen"", ""Hot water"", ""Smoke alarm"", ""Backyard"", ""High chair"", ""Microwave"", ""Children\u2019s books and toys"", ""Cable TV"", ""Paid parking off premises"", ""Lake access"", ""Heating""]",300.0,3,365,3.0,3.0,365.0,365.0,3.0,365.0,t,4,9,17,87,25,1,0,2019-01-01,4.91,4.96,4.59,4.83,4.96,4.74,4.74,f,1,1,0,0,0.27
16,"Amsterdam, Noord-Holland, Netherlands",unknown,0,100,f,Jordaan,1,1,"['email', 'phone']",t,f,Centrum-West,52.38162,4.88238,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"[""Hangers"", ""Hair dryer"", ""Coffee maker"", ""Cooking basics"", ""Stove"", ""Kitchen"", ""Dedicated workspace"", ""Hot water"", ""Smoke alarm"", ""Microwave"", ""Private entrance"", ""Host greets you"", ""Refrigerator"", ""Dishwasher"", ""Bed linens"", ""Heating"", ""Wifi"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Essentials""]",100.0,8,10,8.0,8.0,1125.0,1125.0,8.0,1125.0,t,0,0,0,0,25,3,0,2021-10-10,4.76,4.84,4.56,4.92,4.88,4.8,4.56,t,1,1,0,0,0.64
17,"Amsterdam, North Holland, Netherlands",within an hour,100,100,t,Buiksloterham,1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,Oud-Noord,52.40173,4.90238,Private room in houseboat,Private room,2,1 private bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Outdoor dining area"", ""natuurlijke conditioner conditioner"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Hair dryer"", ""Waterfront"", ""Mini fridge"", ""Private sauna"", ""Washer"", ""Dryer"", ""Iron"", ""Dishes and silverware"", ""Hangers"", ""Dining table"", ""Cooking basics"", ""Free street parking"", ""Single level home"", ""Cleaning products"", ""Refrigerator"", ""Mosquito net"", ""Fire extinguisher"", ""Portable fans"", ""Wifi"", ""Outdoor furniture"", ""Essentials"", ""First aid kit"", ""Drying rack for clothing"", ""Coffee maker"", ""Shower gel"", ""BBQ grill"", ""Kitchen"", ""Boat slip"", ""Hot water"", ""Smoke alarm"", ""Barbecue utensils"", ""Lock on bedroom door"", ""EV charger"", ""Bed linens"", ""Clothing storage: closet and dresser"", ""natuurlijke zeep body soap"", ""Carbon monoxide alarm"", ""inductie kookplaat induction stove"", ""Freezer"", ""Bathtub"", ""Host greets you"", ""Toaster"", ""Private patio or balcony"", ""Oven"", ""Private fenced garden or backyard"", ""Dedicated workspace"", ""Heating"", ""natuurlijke shampoo shampoo"", ""Wine glasses""]",90.0,2,7,2.0,2.0,7.0,7.0,2.0,7.0,t,0,0,0,230,39,1,0,2019-07-21,4.92,4.87,4.9,4.97,5.0,4.56,4.77,t,1,0,1,0,0.86
18,"Amsterdam, North Holland, Netherlands",unknown,0,0,f,unknown,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",t,t,De Pijp - Rivierenbuurt,52.35481,4.88744,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,"[""Hangers"", ""Cable TV"", ""Hair dryer"", ""Shampoo"", ""Host greets you"", ""Kitchen"", ""Smoke alarm"", ""TV with standard cable"", ""Heating"", ""Long term stays allowed"", ""Dedicated workspace"", ""Washer"", ""Wifi"", ""Dryer"", ""Iron"", ""Essentials""]",180.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,0,0,0,0,20,0,0,2017-07-31,4.85,4.95,4.8,4.85,4.95,4.95,4.75,t,1,1,0,0,0.33
19,"Amsterdam, North Holland, Netherlands",within a few hours,100,22,f,Hoofddorppleinbuurt,1,1,"['email', 'phone', 'reviews']",t,f,Zuid,52.34966,4.84949,Private room in condominium (condo),Private room,4,1 private bath,2.0,2.0,"[""Luggage dropoff allowed"", ""Sound system"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Hair dryer"", ""38\"" HDTV"", ""Stove"", ""Waterfront"", ""Pour-over coffee"", ""Washer"", ""Keurig coffee machine"", ""Dishes and silverware"", ""Iron"", ""Hangers"", ""Dining table"", ""Cooking basics"", ""Cleaning products"", ""Refrigerator"", ""Long term stays allowed"", ""Mosquito net"", ""Fire extinguisher"", ""Wifi"", ""Outdoor furniture"", ""Essentials"", ""First aid kit"", ""Drying rack for clothing"", ""Cleaning before checkout"", ""Coffee maker"", ""Shampoo"", ""Shower gel"", ""Room-darkening shades"", ""Kitchen"", ""Hot water"", ""Smoke alarm"", ""Laundromat nearby"", ""Lock on bedroom door"", ""Private entrance"", ""EV charger"", ""Bed linens"", ""Microwave"", ""Carbon monoxide alarm"", ""Clothing storage"", ""Body soap"", ""Freezer"", ""Paid parking off premises"", ""Host greets you"", ""Lake access"", ""Private patio or balcony"", ""Oven"", ""Conditioner"", ""Dedicated workspace"", ""Heating"", ""Wine glasses""]",150.0,2,30,5.0,5.0,30.0,30.0,5.0,30.0,t,7,7,27,302,3,0,0,2020-01-01,5.0,4.67,5.0,5.0,5.0,5.0,3.67,f,1,0,1,0,0.07
20,"Amsterdam, North Holland, Netherlands",within an hour,88,80,f,De Pijp,1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",t,t,De Pijp - Rivierenbuurt,52.35536,4.89192,Entire rental unit,Entire home/apt,2,1 bath,1.577414409810935,1.0,"[""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Central air conditioning"", ""Hair dryer"", ""Hot water kettle"", ""KEF Bluetooth sound system"", ""Ethernet connection"", ""Iron"", ""Dishes and silverware"", ""Hangers"", ""Cooking basics"", ""AESOP body soap"", ""TV with standard cable"", ""Single level home"", ""Cleaning products"", ""Refrigerator"", ""Long term stays allowed"", ""Fire extinguisher"", ""Wifi"", ""Essentials"", ""Coffee maker"", ""Shampoo"", ""Shower gel"", ""Room-darkening shades"", ""Kitchen"", ""Hot water"", ""Smoke alarm"", ""Laundromat nearby"", ""Bed linens"", ""Microwave"", ""Carbon monoxide alarm"", ""Cable TV"", ""Freezer"", ""Host greets you"", ""Paid street parking off premises"", ""Dedicated workspace"", ""Heating"", ""Wine glasses""]",190.0,3,60,3.0,3.0,60.0,60.0,3.0,60.0,t,27,57,87,362,45,1,1,2018-08-18,4.7,4.86,4.5,4.93,4.98,4.84,4.36,t,1,1,0,0,0.81
21,"Amsterdam, North Holland, Netherlands",unknown,0,100,t,unknown,35,35,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",t,t,Oud-Noord,52.39856,4.90556,Entire rental unit,Entire home/apt,2,1 bath,1.577414409810935,1.0,"[""Outdoor dining area"", ""Hot water kettle"", ""Hair dryer"", ""Dishes and silverware"", ""Iron"", ""Hangers"", ""Free street parking"", ""Single level home"", ""TV with standard cable"", ""Long term stays allowed"", ""Babysitter recommendations"", ""Refrigerator"", ""Fire extinguisher"", ""Portable fans"", ""Essentials"", ""First aid kit"", ""Clothing storage: closet"", ""Coffee maker"", ""Shampoo"", ""Shower gel"", ""Kitchen"", ""Laundromat nearby"", ""Hot water"", ""Smoke alarm"", ""Private entrance"", ""Bed linens"", ""Microwave"", ""Carbon monoxide alarm"", ""Body soap"", ""Cable TV"", ""Paid parking off premises"", ""Host greets you"", ""Toaster"", ""Nespresso machine"", ""Dedicated workspace"", ""Heating"", ""Fast wifi \u2013 51 Mbps""]",115.0,3,1001,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,21,51,81,103,117,11,0,2020-02-10,4.45,4.57,4.59,4.48,4.58,4.21,4.27,f,6,4,2,0,1.92
22,"Amsterdam, North Holland, The Netherlands",unknown,0,100,t,Oud-West,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'work_email']",t,t,De Baarsjes - Oud-West,52.36897,4.85561,Entire rental unit,Entire home/apt,2,1.5 baths,1.0,1.0,"[""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Hair dryer"", ""Stove"", ""Waterfront"", ""Washer"", ""Ethernet connection"", ""Dryer"", ""Iron"", ""Dishes and silverware"", ""Hangers"", ""Cooking basics"", ""TV with standard cable"", ""Long term stays allowed"", ""Refrigerator"", ""Fire extinguisher"", ""Wifi"", ""Building staff"", ""Essentials"", ""First aid kit"", ""Crib"", ""Coffee maker"", ""Shampoo"", ""Shower gel"", ""Room-darkening shades"", ""Kitchen"", ""Hot water"", ""Smoke alarm"", ""Private entrance"", ""Bed linens"", ""Microwave"", ""Carbon monoxide alarm"", ""Cable TV"", ""Paid parking off premises"", ""Oven"", ""Dishwasher"", ""Dedicated workspace"", ""Heating"", ""Patio or balcony""]",120.0,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0,t,0,0,0,0,82,2,0,2019-08-22,4.89,4.87,4.85,4.91,4.91,4.68,4.73,t,1,1,0,0,0.92
23,"Amsterdam, North Holland, Netherlands",within a few hours,100,67,f,unknown,1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,f,De Aker - Nieuw Sloten,52.342,4.80547,Entire residential home,Entire home/apt,3,1.5 baths,2.0,1.0,"[""Luggage dropoff allowed"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Free parking on premises"", ""Hair dryer"", ""Stove"", ""Waterfront"", ""Washer"", ""Dishes and silverware"", ""Iron"", ""Hangers"", ""Record player"", ""Baking sheet"", ""Dining table"", ""Cooking basics"", ""Free street parking"", ""Cleaning products"", ""Refrigerator"", ""Long term stays allowed"", ""Outdoor furniture"", ""Wifi"", ""Portable fans"", ""Essentials"", ""First aid kit"", ""Drying rack for clothing"", ""Coffee maker"", ""Indoor fireplace"", ""Shampoo"", ""Shower gel"", ""Room-darkening shades"", ""Kitchen"", ""Hot water"", ""TV"", ""Smoke alarm"", ""Private entrance"", ""Bed linens"", ""Microwave"", ""Central heating"", ""Sound system with aux"", ""Body soap"", ""Freezer"", ""Bathtub"", ""Lake access"", ""Private patio or balcony"", ""Oven"", ""Dishwasher"", ""Conditioner"", ""Private fenced garden or backyard"", ""Dedicated workspace"", ""Lockbox"", ""Wine glasses""]",70.0,1,1125,1.0,3.0,1125.0,1125.0,1.1,1125.0,t,2,2,2,2,1,1,1,2021-11-28,5.0,5.0,5.0,5.0,5.0,4.0,5.0,f,1,1,0,0,1.0
